```
UD. WIDI WIGUNA

2025-04-20

№   Кол-во   Наименование       Цена     Сумма
1   1       mushroom           40000    40000
2   1       romaine            55000    55000
3   0.5     english spinach    80000    40000
4   0.5     green bean         18000    9000
5   2       tomato             20000    40000
6   0.05    dill               90000    4500
7   2       local spinach      15000    30000
8   15      potato             25000    375000
9   0.2     hazelnut           250000   50000
10  1       baking paper       285000   285000
11  15      egg                55000    825000
12  4       flour terigu       16000    64000
13  2       corn starch        23000    46000
14  1       hand glove M black 90000    90000
15  12      chickpeas          32000    384000
16  0.5     sunkist            35000    17500
17  3       pineapple          8000     24000
18  4       dragon fruit       25000    100000
19  2.5     mango              70000    175000
20  1       paprika merah      70000    70000
21  1.5     zucchini           55000    82500
22  3       cucumber           16000    48000
23  5       chicken breast     57000    285000
24  20      lumajang           22000    440000
25  2       carrot             25000    50000
26  4       lemon              35000    140000
27  1       apple lokal        40000    40000
28  7       watermelon         13000    91000
29  2       lime               20000    40000
30  5       caramel            35000    175000

ИТОГО: 4111500
```
